Year;District;Code;Location;Robbery;Street_robbery;Injury;Agg_assault;Threat;Theft;Car;From_car;Bike;Burglary;Fire;Arson;Damage;Graffiti;Drugs;Local
2012;Mitte;10111;Tiergarten Sud;70;46;586;194;118;2263;18;328;120;68;16;4;273;26;171;1032
2012;Mitte;10112;Regierungsviertel;65;29;474;123;142;3203;10;307;170;37;10;4;380;124;98;870
